OID_,ppt_ID,shed,scen,treatment,delta
,86, ,1,30,0
,89, ,1,30,0
,91, ,1,30,0
,95, ,1,30,0
,105, ,1,30,0.0645062
,106, ,1,30,0.0366707
,114, ,1,30,0
,119, ,1,30,0.0808995
,129, ,1,30,6.6666598
,137, ,1,30,0.237875
,140, ,1,30,11.0172005
,147, ,1,30,0.218108
,148, ,1,30,0
,150, ,1,30,0
,153, ,1,30,2.4044299
,157, ,1,30,4.9334602
,160, ,1,30,0.660985
,161, ,1,30,2.7569499
,166, ,1,30,0
,169, ,1,30,0.576612
,181, ,1,30,6.25
,182, ,1,30,0
,183, ,1,30,0.188826
,187, ,1,30,0
,189, ,1,30,0
,204, ,1,30,8.35707
,205, ,1,30,0
,206, ,1,30,2.0016401
,207, ,1,30,3.56583
,208, ,1,30,2.79844
,209, ,1,30,2.97892
,211, ,1,30,0
,217, ,1,30,2.38305
,223, ,1,30,2.48313
,225, ,1,30,1.34448
,226, ,1,30,0
,227, ,1,30,2.81864
,228, ,1,30,0
,234, ,1,30,2.3411801
,235, ,1,30,0
,237, ,1,30,2.60955
,239, ,1,30,2.2492001
,242, ,1,30,0
,243, ,1,30,2.5213201
,250, ,1,30,0
,251, ,1,30,7.53758
,261, ,1,30,0
,262, ,1,30,0
,267, ,1,30,6.5777602
,294, ,1,30,5.5555601
,316, ,1,30,0
,330, ,1,30,0
,333, ,1,30,3.9516599
,344, ,1,30,0
,349, ,1,30,2.77981
,351, ,1,30,1.94077
,352, ,1,30,3.1926899
,358, ,1,30,1.2993701
,367, ,1,30,0
,374, ,1,30,4.76436
,375, ,1,30,0
,376, ,1,30,1.56047
,383, ,1,30,0
,384, ,1,30,0.946563
,385, ,1,30,0
,386, ,1,30,0
,391, ,1,30,8.1604404
,393, ,1,30,1.24448
,401, ,1,30,0
,416, ,1,30,3.8758099
,419, ,1,30,3.5168099
,422, ,1,30,4.2975001
,423, ,1,30,0
,430, ,1,30,8.3333302
,434, ,1,30,4.0966401
,437, ,1,30,1.41153
,440, ,1,30,2.4307101
,443, ,1,30,0
,445, ,1,30,2.67998
,450, ,1,30,4.5585098
,451, ,1,30,3.06617
,459, ,1,30,2.8722999
,475, ,1,30,0
,476, ,1,30,8.3333302
,479, ,1,30,2.9054599
,481, ,1,30,1.44234
,487, ,1,30,0
,488, ,1,30,0
,490, ,1,30,2.34162
,491, ,1,30,0
,499, ,1,30,8.3500004
,500, ,1,30,0
,501, ,1,30,1.69084
,512, ,1,30,0.92856
,527, ,1,30,2.92536
,558, ,1,30,3.1319599
,559, ,1,30,3.6210201
,572, ,1,30,0
,573, ,1,30,2.5917799
,576, ,1,30,0
,577, ,1,30,1.91629
,578, ,1,30,4.5454502
,597, ,1,30,0
,602, ,1,30,2.4054799
,607, ,1,30,0
,608, ,1,30,8.3333502
,613, ,1,30,1.56906
,615, ,1,30,0.170563
,627, ,1,30,1.61725
,628, ,1,30,1.44981
,629, ,1,30,0
,632, ,1,30,0
,641, ,1,30,0
,647, ,1,30,2.33322
,655, ,1,30,0
,656, ,1,30,0
,657, ,1,30,0
,663, ,1,30,0
,672, ,1,30,1.52159
,687, ,1,30,0
,690, ,1,30,2.01085
,691, ,1,30,1.48746
,692, ,1,30,0
,693, ,1,30,0
,695, ,1,30,2.2437699
,703, ,1,30,0
,706, ,1,30,1.50351
,710, ,1,30,2.34108
,715, ,1,30,0
,718, ,1,30,1.70834
,726, ,1,30,2.7777801
,731, ,1,30,0
,734, ,1,30,0
,735, ,1,30,2.21328
,738, ,1,30,0
,740, ,1,30,1.55554
,741, ,1,30,2.4390199
,744, ,1,30,3.38149
,748, ,1,30,0
